slug,score,category,note
cashew,1,wrong form / part,"cashew APPLES (fruit), not the nut people expect"
chuck-roast,1,wrong-subject (diagram/logo/map),"a BEEF CUTS butcher diagram, not a photo"
crabapple,1,wrong form / part,"a whole flowering tree, not the fruit"
curacao,1,other / misleading,"two white star shapes, no drink"
fat,1,wrong-subject (diagram/logo/map),"molecular diagram, completely wrong"
filet-mignon,1,wrong-subject (diagram/logo/map),"a COW cuts diagram, not a photo"
green-mango,1,live animal / wrong creature,"a HUMMINGBIRD, completely wrong"
ground-elk,1,live animal / wrong creature,"a live elk, not ground meat"
liver,1,wrong-subject (diagram/logo/map),an anatomy diagram of organs
poultry,1,wrong-subject (diagram/logo/map),"a vintage poultry-chart poster, not food"
quark,1,wrong-subject (diagram/logo/map),"a physics quark diagram, completely wrong"
ramp,1,wrong form / part,"a metallic solar/satellite panel, not the vegetable"
salsify,1,wrong form / part,"the salsify flower, not the root"
sherry-wine,1,wrong-subject (diagram/logo/map),"a MAP of Spain, not a photo of sherry"
spring-green,1,wrong-subject (diagram/logo/map),"a green color swatch/bar, not food"
squirrel,1,live animal / wrong creature,"live squirrels, not the meat"
star-anise,1,wrong form / part,"green leaves, not the star spice"
veal,1,live animal / wrong creature,"a live dairy cow, not the meat"
verjuice,1,other / misleading,"a medieval winemaking illustration, not food"
achiote,2,wrong form / part,"red flowers, ghost halo, hard to read"
acorn-squash,2,bad cutout / unreadable,"grey ghost blocks, bad cutout"
adobo-sauce,2,wrong form / part,"shows a hunk of cured meat, not a sauce"
ajwain,2,wrong form / part,"white flowers, not the seed spice"
alligator-meat,2,bad cutout / unreadable,"tiny dark dish + halo, unrecognizable"
allspice,2,wrong form / part,"shows plant/leaves, not the dried berry/spice"
almond-flour,2,other / misleading,"dark blob, does not read as pale almond flour"
amarula-cream-liqueur,2,other / misleading,"two generic drink glasses, no bottle, unidentifiable"
ancho-chili,2,other / misleading,fresh green poblano; ancho is the DRIED dark pepper
apricot-jam,2,wrong form / part,"row of assorted jam smears, not clearly apricot"
asian-chili-sauce,2,bad cutout / unreadable,"messy blobs + ghosting, unreadable"
bamboo-shoot,2,wrong form / part,"dark mass + halo, not the pale shoot"
barberry,2,wrong form / part,"shrub with orange flowers, not the red berries"
beer,2,other / misleading,a WOMAN holding beers dominates the tile
benedictine,2,other / misleading,"yellow abstract blob, does not represent the liqueur"
bitter-melon,2,wrong form / part,"vine with ghosting, melon barely visible"
black-bread,2,bad cutout / unreadable,"dark chunk + heavy halo, barely reads as bread"
black-eyed-pea,2,bad cutout / unreadable,single tiny pea + ghosting
black-pepper,2,wrong form / part,"pepper plant leaves, not the peppercorn/spice"
brine,2,other / misleading,"looks like a marked water bottle/column, does not read as brine"
brown-rice-syrup,2,wrong form / part,"pale/green dishes, not amber syrup"
brown-sugar,2,bad cutout / unreadable,"mixed sugars + grey halo, bad cutout"
browning-sauce,2,wrong form / part,"a full English breakfast plate, not the sauce"
buckwheat-groat,2,wrong form / part,"white plant flowers, not the groats"
burdock-root,2,wrong form / part,"thistle flowers, not the root"
buttercup-squash,2,wrong form / part,"squash vine/flowers, not the fruit"
cajun-seasoning,2,wrong form / part,"a shrimp/gumbo dish, not the seasoning"
calamari,2,bad cutout / unreadable,"messy cooked squid, hard to read"
candlenut,2,bad cutout / unreadable,"leaf + one tiny nut, sparse"
cannellini-bean,2,other / misleading,shows RED kidney beans; cannellini are white
cantaloupe,2,wrong form / part,"green-rind gourd/melon + flower, not a cantaloupe"
caramel,2,other / misleading,"empty orange plate, no caramel visible"
carob-powder,2,wrong form / part,"dark twisted object, not a powder"
cashew-nut,2,wrong form / part,"shows the cashew fruit again, not the nut"
cassava,2,wrong form / part,"cassava plant leaves, not the root"
celery-seed,2,wrong form / part,"duplicate celery crate, not the seeds"
cereal,2,other / misleading,"few corn/grain kernels, does not read as cereal"
char-siu-sauce,2,wrong form / part,"a food skewer, not the sauce"
cherry-flavored-liqueur,2,wrong form / part,"bottle with basil leaves overlaid, messy"
chestnut,2,wrong form / part,"a single green leaf, not a chestnut"
chestnut-flour,2,other / misleading,"a green leaf, not flour"
chia-seed,2,bad cutout / unreadable,"faint ghost blobs, barely visible"
chickpea,2,wrong form / part,"one odd brown blob, not clearly chickpeas"
chihuahua-cheese,2,bad cutout / unreadable,"dark slices on bread, unreadable"
chili-garlic-sauce,2,other / misleading,"plate with white sauce + olives, not chili-garlic"
chili-paste,2,bad cutout / unreadable,messy brown lumps on plate + ghost
chili-sauce,2,bad cutout / unreadable,"same messy plate as chili-paste, unreadable"
conch,2,bad cutout / unreadable,"murky cooked conch, unrecognizable"
corn,2,bad cutout / unreadable,"small corn cob + faint ghost, sparse"
cotija-cheese,2,bad cutout / unreadable,"cheese with ghost halos, messy"
crawfish,2,bad cutout / unreadable,"single crawfish + ghost, murky"
curd,2,other / misleading,a gloved HAND holding curd
daikon-radish,2,bad cutout / unreadable,heavy motion-blur/ghost artifacts
daikon-sprout,2,bad cutout / unreadable,"same daikon image, not sprouts, messy"
dandelion-green,2,wrong form / part,"a yellow dandelion flower, not the greens"
date,2,bad cutout / unreadable,"red clusters + ghost, does not read as dates"
demi-glace,2,wrong form / part,"plate of meat/veg + ghost, not the sauce"
dried-lily-bud,2,wrong form / part,"fresh lily flower, not the dried buds"
duck-fat,2,duplicate / store-shelf placeholder,"same roasted duck image, not fat"
duck-stock,2,duplicate / store-shelf placeholder,"same roasted duck image, not stock"
fava-bean,2,wrong form / part,"sparse plant sprig + one pod, ghosty"
fig-jam,2,duplicate / store-shelf placeholder,"same fig botanical illustration, not jam"
frog-s-leg,2,bad cutout / unreadable,"frog legs + bread, messy"
fruit-jam,2,other / misleading,row of assorted jam smears
galangal,2,other / misleading,"botanical illustration, rhizome not clear"
garlic,2,wrong form / part,"whole garlic plant with scapes, not clear bulbs/cloves (common ingredient!)"
garlic-oil,2,other / misleading,"orange gel supplement capsules, not culinary garlic oil"
ginkgo-nut,2,wrong form / part,"a ginkgo tree/foliage, not the nuts"
golden-beet,2,wrong form / part,"dark purple/red beets, not golden"
grape,2,bad cutout / unreadable,"few dark grapes/plums, heavy ghost, sparse"
greek-yogurt,2,other / misleading,"blob in liquid on plate, does not read as greek yogurt"
green-chili,2,wrong form / part,"yellow + red chilies, not green"
green-chili-paste,2,bad cutout / unreadable,messy brown lumps on plate
green-peppercorn,2,wrong form / part,"pepper plant leaves, not the peppercorns"
green-tomato,2,wrong form / part,"RED tomatoes, not green"
ground-meat,2,bad cutout / unreadable,"hand + patties + ghost, messy"
ham-hock,2,wrong-subject (diagram/logo/map),"a pig anatomy line-drawing, not a photo"
hash-brown,2,bad cutout / unreadable,"faint ghosty orange, poor cutout"
hazelnut-flavored-liqueur,2,duplicate / store-shelf placeholder,"a crowd of many bottles, unidentifiable"
hijiki-seaweed,2,bad cutout / unreadable,faint botanical print on paper
hubbard-squash,2,wrong form / part,"squash vine + flowers, not the fruit"
huckleberry,2,bad cutout / unreadable,"dark berries, heavy ghost, sparse"
jam,2,other / misleading,row of assorted jam smears
kaffir-lime-leaf,2,wrong form / part,"kaffir limes (fruit), not the leaves"
kasseri-cheese,2,other / misleading,"translucent ice-cube block, not cheese"
kelp,2,wrong form / part,"orange peel-like thing + ghost, not kelp"
khoya,2,other / misleading,a MAN making khoya dominates the tile
konnyaku,2,wrong form / part,"a konjac flower/plant, not the konnyaku block"
liquor,2,other / misleading,"a copper still/alembic, not liquor"
lobster,2,bad cutout / unreadable,"dark ghosted mess, unrecognizable"
lumpia-skin,2,bad cutout / unreadable,"messy food pile, not wrappers"
maggi-seasoning,2,wrong-subject (diagram/logo/map),"just the MAGGI logo, not a product"
malt-vinegar,2,duplicate / store-shelf placeholder,"a store shelf of bottles, does not represent it"
marshmallow,2,bad cutout / unreadable,"grey ghosted blobs, unreadable"
masa-harina,2,wrong form / part,"dark burnt blobs + ghost, not pale flour"
napa-cabbage,2,bad cutout / unreadable,ghost halo artifact on the left
nigella-seed,2,wrong form / part,"a white nigella flower, not the black seeds"
onion-paste,2,duplicate / store-shelf placeholder,"same assorted onions image, not paste"
onion-seed,2,wrong form / part,"a white nigella flower, not seeds"
orange-extract,2,duplicate / store-shelf placeholder,"same orange image, not an extract"
orange-flower-water,2,wrong form / part,"a metal juicer/press, not the water"
papaya,2,bad cutout / unreadable,"floral ghost artifact + papaya, poor cutout"
parsnip,2,wrong form / part,"dried seed umbel, not the parsnip root"
passion-fruit,2,wrong form / part,"the passion flower, not clearly the fruit"
peach-jam,2,other / misleading,row of assorted jam smears
peppercorn,2,wrong form / part,"pepper plant leaves, not the peppercorns"
peri-peri,2,wrong form / part,"planter of chili plants + ghost, unclear"
pheasant,2,live animal / wrong creature,"a live pheasant bird in a field, not the meat"
pickle-juice,2,other / misleading,"pink shot glasses, reads as a cocktail"
pineapple-syrup,2,duplicate / store-shelf placeholder,"same pineapple image, not syrup"
pomegranate-molasses,2,wrong form / part,"a dark ham-like blob, not molasses"
pomegranate-syrup,2,duplicate / store-shelf placeholder,"same dark blob, not syrup"
ponzu-sauce,2,bad cutout / unreadable,"dark red messy mass, unreadable"
potato-flake,2,other / misleading,"a green gourd/melon, not potato flakes"
psyllium,2,wrong form / part,"a dried plant sprig, sparse, not the husk"
pudding,2,other / misleading,"empty glass dish, no pudding"
quinoa,2,wrong form / part,"a quinoa plant head, not the grains"
rabbit,2,live animal / wrong creature,"a live rabbit, not the meat"
raspberry,2,other / misleading,"looks like a halved red pepper, not raspberry"
red-wine-vinegar,2,duplicate / store-shelf placeholder,a store shelf of bottles
rice-krispies,2,wrong-subject (diagram/logo/map),just the Rice Krispies logo
rice-vinegar,2,wrong form / part,"an empty pale bowl, no vinegar visible"
rice-wine,2,duplicate / store-shelf placeholder,"a shelf of bottles, unclear"
rosemary,2,wrong form / part,"blurry rosemary flowers, sparse ghost"
safflower-oil,2,wrong form / part,"a safflower flower, not oil"
saskatoon-berry,2,wrong form / part,"white plant flowers, not the berries"
sausage,2,bad cutout / unreadable,"small unclear cut object, hard to read"
sloe-gin,2,wrong form / part,"a blue-grey sphere, not sloe gin"
smoked-tofu,2,wrong form / part,"white tofu on blue plate, not smoked (brown) tofu"
sorghum,2,wrong form / part,"dried sorghum plant heads, sparse, not the grain"
spearmint,2,wrong form / part,"looks like aloe, not spearmint leaves"
spicy-sausage,2,bad cutout / unreadable,"small unclear cut object, hard to read"
suckling-pig,2,bad cutout / unreadable,"ghosty hanging object, hard to read"
sugar,2,wrong form / part,"mixed brown sugars + grey halo, not clean white sugar"
sweet-pea,2,wrong form / part,"sweet pea flowers, not the edible pea"
szechuan-hot-bean-sauce,2,bad cutout / unreadable,"a small pot/grinder + ghost, unclear"
tabasco-sauce,2,wrong-subject (diagram/logo/map),just the Tabasco diamond logo
tamarind-paste,2,bad cutout / unreadable,"dark ghosty scattered pieces, unclear"
taro-root,2,bad cutout / unreadable,"dark murky taro, hard to read"
teff,2,wrong form / part,"a green plant sprig, sparse, not the grain"
turnip-green,2,wrong form / part,"same turnips image, not the greens"
vanilla,2,wrong form / part,"a vanilla flower, not the beans/pods"
vegemite,2,wrong-subject (diagram/logo/map),just the Vegemite logo
vinaigrette,2,bad cutout / unreadable,"greenish blobs + ghost, unclear"
vinegar,2,duplicate / store-shelf placeholder,a store shelf of bottles
wakame-seaweed,2,bad cutout / unreadable,"dark dried sparse ghost, unclear"
wasabi,2,bad cutout / unreadable,"a sparse wasabi shoot + ghost, no paste/root"
white-pepper,2,wrong form / part,"pepper plant leaves, not the white pepper"
white-vinegar,2,duplicate / store-shelf placeholder,a store shelf of bottles
winter-melon,2,wrong form / part,"a flower + small melon slice, sparse/odd"
yacon-syrup,2,wrong form / part,"raw yacon roots, not the syrup"
yellow-pear-tomato,2,bad cutout / unreadable,"heavy ghost/transparency artifacts, messy"
alfredo-sauce,3,,"plate of fettuccine, sauce not obvious"
alum,3,,"clear crystals, accurate but abstract"
amaranth,3,,"magenta flowering plant, messy ghosting"
amaretto,3,,"multiple bottles, busy"
amchoor-powder,3,,"dried mango slices, not the powder"
angelica,3,,"purple flowering plant, messy ghosting"
anisette,3,,"branded bottle, ghost halo behind"
arame-seaweed,3,,"black dried spindly form, plausible seaweed"
artichoke-heart,3,,"whole artichoke shown, not the heart"
arugula,3,,"generic leafy shrub, not clearly arugula"
asadero-cheese,3,,packaged cheese with label
asiago-cheese,3,,branded wheel
baguette,3,,"baguettes in basket, busy packaging"
balsamic-vinegar,3,,abstract dark liquid splash
barbecue-sauce,3,,foil tray of BBQ meat + stray piece; reads as BBQ
bay-scallop,3,,"closed shell, not the scallop meat"
bean-flour,3,,"pale flour pile, some halo"
beef-fat,3,,jar of white fat
beet,3,,"beets, dark with ghosting"
berry,3,,"red berries on a twig, generic"
biscuit,3,,"UK biscuits, name ambiguous"
black-vinegar,3,,glass of dark liquid
blackberry,3,,"assorted berries, not only blackberry"
blue-cheese,3,,"cheese with label sign, some ghosting"
boursin-cheese,3,,foil tub of soft cheese
brazil-nut,3,,"mixed nuts/dried bits, a bit odd"
breadcrumb,3,,small plate of crumbs
brown-bean-sauce,3,,dark glossy sauce dome
butter,3,,butter chunks + halo
cachaca,3,,"multiple bottles, busy"
caciocavallo,3,,gourd cheese + chunks
canola-oil,3,,bowl of pale oil
capicola,3,,"cured meat piece, some ghost wisps"
cardoon,3,,cardoon thistle plant/flower
cashew-milk,3,,"bowl of white liquid, generic"
celery,3,,"crate of celery, packaging visible"
champagne,3,,"glass of champagne, ghosting"
cheese,3,,"assorted cheese platter, busy"
cheese-curd,3,,scattered yellow curds
chinese-celery,3,,celery stalk
chinese-duck-sauce,3,,duck sauce packets
chutney,3,,bowls of chutney
ciabatta,3,,"ciabatta slices, ghost at top"
citrus-infused-vodka,3,,martini glass cocktail
cloud-ear-mushroom,3,,"dark mushrooms on stick, sparse"
condensed-milk,3,,"tube + white puddle, odd"
crab,3,,"crab on toast, a bit hard to read"
cracked-farro,3,,bowl of farro
